2022-09-15 07:00:40.503646, sleeping
2022-09-15 07:10:10.517249, sleeping
2022-09-15 07:10:40.517965, sleeping
2022-09-15 07:20:10.531568, sleeping
2022-09-15 07:20:40.532284, sleeping
2022-09-15 07:30:10.545887, sleeping
2022-09-15 07:30:40.546603, sleeping
2022-09-15 07:40:10.560206, sleeping
2022-09-15 07:40:40.560922, sleeping
2022-09-15 07:50:10.574525, sleeping
2022-09-15 07:50:40.575241, sleeping
2022-09-15 08:00:10.588843, sleeping
2022-09-15 08:00:40.589559, sleeping
2022-09-15 08:10:10.603162, sleeping
2022-09-15 08:10:40.603878, sleeping
2022-09-15 08:20:10.617481, sleeping
2022-09-15 08:20:40.618197, sleeping
2022-09-15 08:30:10.631800, sleeping
2022-09-15 08:30:40.632516, sleeping
2022-09-15 08:40:10.646119, sleeping
2022-09-15 08:40:40.646835, sleeping
2022-09-15 08:50:10.660438, sleeping
2022-09-15 08:50:40.661154, sleeping
2022-09-15 09:00:10.674757, sleeping
2022-09-15 09:00:40.675473, sleeping
2022-09-15 09:10:10.689075, sleeping
2022-09-15 09:10:40.689791, sleeping
2022-09-15 09:20:10.703394, sleeping
2022-09-15 09:20:40.704110, sleeping
2022-09-15 09:30:10.717713, sleeping
2022-09-15 09:30:40.718429, sleeping
2022-09-15 09:40:10.732032, sleeping
2022-09-15 09:40:40.732748, sleeping
2022-09-15 09:50:10.746351, sleeping
2022-09-15 09:50:40.747067, sleeping
2022-09-15 10:00:10.760670, sleeping
2022-09-15 10:00:40.762386, sleeping
2022-09-15 10:10:10.775989, sleeping
2022-09-15 10:10:40.776705, sleeping
2022-09-15 10:20:10.790308, sleeping
2022-09-15 10:20:40.791023, sleeping
2022-09-15 10:30:10.804626, sleeping
2022-09-15 10:30:40.805342, sleeping
2022-09-15 10:40:10.818945, sleeping
2022-09-15 10:40:40.819661, sleeping
2022-09-15 10:50:10.833264, sleeping
2022-09-15 10:50:40.833980, sleeping
2022-09-15 11:00:10.847583, sleeping
2022-09-15 11:00:40.848299, sleeping
2022-09-15 11:10:10.861902, sleeping
2022-09-15 11:10:40.862618, sleeping
2022-09-15 11:20:10.876221, sleeping
2022-09-15 11:20:40.876937, sleeping
2022-09-15 11:30:10.890540, sleeping
2022-09-15 11:30:40.891255, sleeping
2022-09-15 11:40:10.904858, sleeping
2022-09-15 11:40:40.905574, sleeping
2022-09-15 11:50:10.919177, sleeping
2022-09-15 11:50:40.919893, sleeping
2022-09-15 12:00:10.933496, sleeping
2022-09-15 12:00:40.934212, sleeping
2022-09-15 12:10:10.947815, sleeping
2022-09-15 12:10:40.948531, sleeping
2022-09-15 12:20:10.962134, sleeping
2022-09-15 12:20:40.962850, sleeping
2022-09-15 12:30:10.976453, sleeping
2022-09-15 12:30:40.977169, sleeping
2022-09-15 12:40:10.990772, sleeping
2022-09-15 12:40:40.991487, sleeping
2022-09-15 12:50:11.005090, sleeping
2022-09-15 12:50:41.005806, sleeping
2022-09-15 13:00:11.019409, sleeping
2022-09-15 13:00:41.020125, sleeping
2022-09-15 13:10:11.033728, sleeping
2022-09-15 13:10:41.034444, sleeping
2022-09-15 13:20:11.048047, sleeping
2022-09-15 13:20:41.048763, sleeping
2022-09-15 13:30:11.062366, sleeping
2022-09-15 13:30:41.063082, sleeping
2022-09-15 13:40:11.076685, sleeping
2022-09-15 13:40:41.077401, sleeping
2022-09-15 13:50:11.091004, sleeping
2022-09-15 13:50:41.091719, sleeping
2022-09-15 14:00:11.105322, sleeping
2022-09-15 14:00:41.107038, sleeping
2022-09-15 14:10:11.120641, sleeping
2022-09-15 14:10:41.121357, sleeping
2022-09-15 14:20:11.135960, sleeping
2022-09-15 14:20:41.136676, sleeping
2022-09-15 14:30:11.150279, sleeping
2022-09-15 14:30:41.150995, sleeping
2022-09-15 14:40:11.164598, sleeping
2022-09-15 14:40:41.165314, sleeping
2022-09-15 14:50:11.178917, sleeping
2022-09-15 14:50:41.179633, sleeping
2022-09-15 15:00:11.193236, sleeping
2022-09-15 15:00:41.193952, sleeping
2022-09-15 15:10:11.207554, sleeping
2022-09-15 15:10:41.208270, sleeping
2022-09-15 15:20:11.221873, sleeping
2022-09-15 15:20:41.222589, sleeping
2022-09-15 15:30:11.236192, sleeping
2022-09-15 15:30:41.236908, sleeping
2022-09-15 15:40:11.250511, sleeping
2022-09-15 15:40:41.251227, sleeping
2022-09-15 15:50:11.264830, sleeping
2022-09-15 15:50:41.265546, sleeping
2022-09-15 16:00:11.279149, sleeping
2022-09-15 16:00:41.279865, sleeping
2022-09-15 16:20:13.868933, sleeping
2022-09-15 16:20:43.885650, sleeping
2022-09-15 16:30:13.899253, sleeping
2022-09-15 16:30:43.899969, sleeping
2022-09-15 16:40:13.913572, sleeping
2022-09-15 16:40:43.914288, sleeping
2022-09-15 16:50:13.927890, sleeping
2022-09-15 16:50:43.928606, sleeping
2022-09-15 17:00:13.942209, sleeping
2022-09-15 17:00:43.942925, sleeping
2022-09-15 17:10:13.956528, sleeping
2022-09-15 17:10:43.957244, sleeping
2022-09-15 17:20:14.025850, sleeping
2022-09-15 17:20:44.027566, sleeping
2022-09-15 17:30:14.153175, sleeping
2022-09-15 17:30:44.171892, sleeping
2022-09-15 17:40:14.269500, sleeping
2022-09-15 17:40:44.373222, sleeping
2022-09-15 17:50:14.423827, sleeping
2022-09-15 17:50:44.424543, sleeping
2022-09-15 18:00:14.438146, sleeping
2022-09-15 18:00:44.438862, sleeping
2022-09-15 18:10:14.452465, sleeping
2022-09-15 18:10:44.463181, sleeping
2022-09-15 18:20:14.489785, sleeping
2022-09-15 18:20:44.490501, sleeping
2022-09-15 18:30:14.511104, sleeping
2022-09-15 18:30:44.511820, sleeping
2022-09-15 18:40:14.525423, sleeping
2022-09-15 18:40:44.526139, sleeping
2022-09-15 18:50:14.539742, sleeping
2022-09-15 18:50:44.540458, sleeping
2022-09-15 19:00:14.554061, sleeping
2022-09-15 19:00:44.554777, sleeping
2022-09-15 19:10:14.568380, sleeping
2022-09-15 19:10:44.569096, sleeping
2022-09-15 19:20:14.582698, sleeping
2022-09-15 19:20:44.583414, sleeping
2022-09-15 19:30:14.597017, sleeping
2022-09-15 19:30:44.597733, sleeping
2022-09-15 19:40:14.611336, sleeping
2022-09-15 19:40:44.612052, sleeping
2022-09-15 19:50:14.625655, sleeping
2022-09-15 19:50:44.626371, sleeping
2022-09-15 20:00:14.639974, sleeping
2022-09-15 20:00:44.640690, sleeping
2022-09-15 20:10:14.654293, sleeping
2022-09-15 20:10:44.655009, sleeping
2022-09-15 20:20:14.668612, sleeping
2022-09-15 20:20:44.669328, sleeping
2022-09-15 20:30:14.688931, sleeping
2022-09-15 20:30:44.689647, sleeping
2022-09-15 20:40:14.703250, sleeping
2022-09-15 20:40:44.703966, sleeping
2022-09-15 20:50:14.717568, sleeping
2022-09-15 20:50:44.718284, sleeping
2022-09-15 21:00:14.731887, sleeping
2022-09-15 21:00:44.732603, sleeping
2022-09-15 21:10:14.749206, sleeping
2022-09-15 21:10:44.749922, sleeping
2022-09-15 21:20:14.763525, sleeping
2022-09-15 21:20:44.764241, sleeping
2022-09-15 21:30:14.777844, sleeping
2022-09-15 21:30:44.778560, sleeping
2022-09-15 21:40:14.966173, sleeping
2022-09-15 21:40:44.967889, sleeping
2022-09-15 21:50:14.982492, sleeping
2022-09-15 21:50:44.985208, sleeping
2022-09-15 22:00:14.998811, sleeping
2022-09-15 22:00:44.999527, sleeping
2022-09-15 22:10:15.013130, sleeping
2022-09-15 22:10:45.013846, sleeping
2022-09-15 22:20:15.027449, sleeping
2022-09-15 22:20:45.028164, sleeping
2022-09-15 22:30:15.041767, sleeping
2022-09-15 22:30:45.042483, sleeping
2022-09-15 22:40:15.056086, sleeping
2022-09-15 22:40:45.056802, sleeping
2022-09-15 22:50:15.070405, sleeping
2022-09-15 22:50:45.071121, sleeping
2022-09-15 23:00:15.084724, sleeping
2022-09-15 23:00:45.085440, sleeping
2022-09-15 23:10:15.099043, sleeping
2022-09-15 23:10:45.099759, sleeping
2022-09-15 23:20:15.113362, sleeping
2022-09-15 23:20:45.114078, sleeping
2022-09-15 23:30:15.127681, sleeping
2022-09-15 23:30:45.128396, sleeping
2022-09-15 23:40:15.141999, sleeping
2022-09-15 23:40:45.142715, sleeping
2022-09-15 23:50:15.156318, sleeping
2022-09-15 23:50:45.157034, sleeping
2022-09-16 00:00:15.170637, sleeping
2022-09-16 00:00:45.171353, sleeping
2022-09-16 00:10:15.184956, sleeping
2022-09-16 00:10:45.185672, sleeping
2022-09-16 00:20:15.199275, sleeping
2022-09-16 00:20:45.199991, sleeping
2022-09-16 00:30:15.213594, sleeping
2022-09-16 00:30:45.214310, sleeping
2022-09-16 00:40:15.227913, sleeping
2022-09-16 00:40:45.228628, sleeping
2022-09-16 00:50:15.242231, sleeping
2022-09-16 00:50:45.242947, sleeping
2022-09-16 01:00:15.256550, sleeping
2022-09-16 01:00:45.257266, sleeping
2022-09-16 01:10:15.270869, sleeping
2022-09-16 01:10:45.271585, sleeping
2022-09-16 01:20:15.285188, sleeping
2022-09-16 01:20:45.285904, sleeping
2022-09-16 01:30:15.299507, sleeping
2022-09-16 01:30:45.300223, sleeping
2022-09-16 01:40:15.313826, sleeping
2022-09-16 01:40:45.314542, sleeping
2022-09-16 01:50:15.328145, sleeping
2022-09-16 01:50:45.328860, sleeping
2022-09-16 02:00:15.342463, sleeping
2022-09-16 02:00:45.343179, sleeping
2022-09-16 02:10:15.356782, sleeping
2022-09-16 02:10:45.357498, sleeping
2022-09-16 02:20:15.371101, sleeping
2022-09-16 02:20:45.371817, sleeping
2022-09-16 02:30:15.385420, sleeping
2022-09-16 02:30:45.386136, sleeping
2022-09-16 02:40:15.399739, sleeping
2022-09-16 02:40:45.400455, sleeping
2022-09-16 02:50:15.414058, sleeping
2022-09-16 02:50:45.414774, sleeping
2022-09-16 03:00:15.428377, sleeping
2022-09-16 03:00:45.429092, sleeping
2022-09-16 03:10:15.442695, sleeping
2022-09-16 03:10:45.443411, sleeping
2022-09-16 03:20:15.457014, sleeping
2022-09-16 03:20:45.457730, sleeping
2022-09-16 03:30:15.471333, sleeping
2022-09-16 03:30:45.472049, sleeping
2022-09-16 03:40:15.485652, sleeping
2022-09-16 03:40:45.486368, sleeping
2022-09-16 03:50:15.499971, sleeping
2022-09-16 03:50:45.500687, sleeping
2022-09-16 04:00:15.514290, sleeping
2022-09-16 04:00:45.515006, sleeping
2022-09-16 04:10:15.528609, sleeping
2022-09-16 04:10:45.529324, sleeping
2022-09-16 04:20:15.542927, sleeping
2022-09-16 04:20:45.543643, sleeping
2022-09-16 04:30:15.557246, sleeping
2022-09-16 04:30:45.557962, sleeping
2022-09-16 04:40:15.571565, sleeping
2022-09-16 04:40:45.572281, sleeping
2022-09-16 04:50:15.585884, sleeping
2022-09-16 04:50:45.586600, sleeping
2022-09-16 05:00:15.600203, sleeping
2022-09-16 05:00:45.600919, sleeping
2022-09-16 05:10:15.614522, sleeping
2022-09-16 05:10:45.615238, sleeping
2022-09-16 05:20:15.628841, sleeping
2022-09-16 05:20:45.629556, sleeping
2022-09-16 05:30:15.643159, sleeping
2022-09-16 05:30:45.643875, sleeping
2022-09-16 05:40:15.657478, sleeping
2022-09-16 05:40:45.658194, sleeping
2022-09-16 05:50:15.671797, sleeping
2022-09-16 05:50:45.672513, sleeping
2022-09-16 06:00:15.686116, sleeping
2022-09-16 06:00:45.686832, sleeping
2022-09-16 06:10:15.704435, sleeping
2022-09-16 06:10:45.705151, sleeping
2022-09-16 06:20:15.718754, sleeping
2022-09-16 06:20:45.719470, sleeping
2022-09-16 06:30:15.733073, sleeping
2022-09-16 06:30:45.733789, sleeping
2022-09-16 06:40:15.747392, sleeping
2022-09-16 06:40:45.748108, sleeping
2022-09-16 06:50:15.761710, sleeping
2022-09-16 06:50:45.762426, sleeping
2022-09-16 07:00:15.776029, sleeping
2022-09-16 07:00:45.776745, sleeping
2022-09-16 07:10:15.790348, sleeping
2022-09-16 07:10:45.791064, sleeping
2022-09-16 07:20:15.804667, sleeping
2022-09-16 07:20:45.805383, sleeping
2022-09-16 07:30:15.818986, sleeping
2022-09-16 07:30:45.819702, sleeping
